Script Name, Function Name, Location, Expression
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 31.a.i, 105:43-76))","call %34 = clo<DefineField>(F, elementRecord)"
151358.js,"Statement[2,0].LabelledEvaluation","Some((step 1, 2:19-55))","sdo-call %0 = this->Evaluation()"
285452.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 1, 2:22-125))","sdo-call %0 = this[0]->IteratorBindingInitialization(iteratorRecord, environment)"
321962.js,"AssignmentExpression[5,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
359874.js,"AsyncGeneratorDrainQueue","Some((step 5.c.ii, 11:18 - 12:39))","Vector([! %1], done = true)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 2.a, 4:16-107))","Vector(nextIndex = [? %1])"
388924.js,"AdditiveExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
10402.js,"IdentifierReference[2,0].StringValue","Some((step 1, 2:12-29))","Vector(return "await")"
150657.js,"Statement[12,0].LabelledEvaluation","Some((step 1, 2:12-56))","Vector(return %0)"
106163.js,"ForStatement[0,0].HasCallInTailPosition","Some((step 1, 2:21-78))","sdo-call %0 = this[3]->HasCallInTailPosition(call)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 3, 5:14-99))","Vector(return [? %2])"
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 5, 6:12-35))","Vector([? next])"
285452.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 1, 2:12-126))","Vector([? %0])"
289460.js,"UnaryExpression[1,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
186068.js,"GeneratorDeclaration[0,0].IsConstantDeclaration","Some((step 1, 2:12-27))","Vector(return false)"
211311.js,"ForStatement[2,1].VarDeclaredNames","Some((step 1, 2:19-54))","sdo-call %0 = this[3]->VarDeclaredNames()"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))"
25282.js,"ShiftExpression[3,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
282375.js,"DoWhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
76477.js,"Number::multiply","Some((step 5.a, 15:21-44))","(< x -0.0f)"
237040.js,"ImportCall[0,0].Evaluation","Some((step 2, 3:30-77))","sdo-call %1 = this[0]->Evaluation()"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 7, 8:14-27))","Vector(return has)"
301762.js,"ArrayBindingPattern[2,1].BoundNames","Some((step 2, 3:28-62))","sdo-call %1 = this[2]->BoundNames()"
76477.js,"Number::multiply","Some((step 5.b, 16:24-49))","Vector(return -0.0f)"
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 1, 2:22-107))","sdo-call %0 = this[0]->IteratorDestructuringAssignmentEvaluation(iteratorRecord)"
351970.js,"AsyncFunctionDeclaration[0,0].IsConstantDeclaration","Some((step 1, 2:12-27))","Vector(return false)"
360778.js,"CallExpression[6,0].Evaluation","Some((step 2, 3:33-51))","call %1 = clo<GetValue>(tagRef)"
360778.js,"CallExpression[6,0].Evaluation","Some((step 1, 2:14-72))","Vector(let tagRef = %0)"
251873.js,"UnaryExpression[3,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
301762.js,"ArrayBindingPattern[2,1].BoundNames","Some((step 1, 2:28-62))","sdo-call %0 = this[0]->BoundNames()"
57130.js,"Expression[1,0].HasCallInTailPosition","Some((step 1, 2:14-90))","Vector(return %0)"
23588.js,"Statement[4,0].LabelledEvaluation","Some((step 1, 2:12-56))","Vector(return %0)"
194694.js,"AsyncArrowFunction[0,0].HasName","Some((step 1, 2:12-27))","Vector(return false)"
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 8, 12:12-103))","Vector(return [? %4])"
174344.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 4, 5:27-88))","sdo-call %1 = this[1]->HasCallInTailPosition(call)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.a, 34:25-66))","sdo-call %14 = C->Evaluation()"
183452.js,"ArrayBindingPattern[2,2].BoundNames","Some((step 1, 2:19-57))","sdo-call %0 = this[0]->BoundNames()"
223901.js,"ArrayBindingPattern[2,1].ContainsExpression","Some((step 1, 2:25-67))","sdo-call %0 = this[0]->ContainsExpression()"
82031.js,"ForStatement[1,1].VarDeclaredNames","Some((step 1, 2:12-68))","Vector(let names1 = %0)"
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 31.a.i, 105:32-77))","call %35 = clo<Completion>(%34)"
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 2, 4:14-99))","Vector(return [? %1])"
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)"
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))"
266930.js,"AssignmentExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 2, 3:12-121))","Vector(return [? %1])"
354965.js,"LeftHandSideExpression[1,0].IsDestructuring","Some((step 1, 2:14-29))","Vector(return false)"
262872.js,"ArrayBindingPattern[2,3].BoundNames","Some((step 2, 3:28-62))","sdo-call %1 = this[2]->BoundNames()"
84327.js,"BitwiseXORExpression[1,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
357636.js,"PrimaryExpression[9,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 4, 5:27-88))","sdo-call %1 = this[1]->HasCallInTailPosition(call)"
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 3, 5:23-98))","sdo-call %2 = this[2]->ArrayAccumulation(array, nextIndex)"
262872.js,"ArrayBindingPattern[2,3].BoundNames","Some((step 1, 2:28-62))","sdo-call %0 = this[0]->BoundNames()"
237040.js,"ImportCall[0,0].Evaluation","Some((step 3, 4:14-54))","Vector(let specifier = [? %2])"
116367.js,"CaseBlock[0,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
237040.js,"ImportCall[0,0].Evaluation","Some((step 3, 4:35-53))","call %2 = clo<GetValue>(argRef)"
289481.js,"ShiftExpression[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
101760.js,"MemberExpression[3,0].Evaluation","Some((step 1, 2:30-73))","sdo-call %0 = this[0]->Evaluation()"
355444.js,"Statement[11,0].LabelledEvaluation","Some((step 1, 2:12-56))","Vector(return %0)"
354779.js,"MemberExpression[4,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15, 33:12 - 36:77))","Vector(let C = %13[%12])"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.a, 16:16-71))","Vector(generator.AsyncGeneratorState = ~completed~)"
262211.js,"AssignmentExpression[8,0].IsFunctionDefinition","Some((step 1, 2:12-27))","Vector(return false)"
294432.js,"AsyncGeneratorAwaitReturn:clo1","Some((step 9.d, 19:24-61))","call %2 = clo<AsyncGeneratorDrainQueue>(generator)"
359874.js,"AsyncGeneratorDrainQueue","Some((step 5.c.i, 10:18-79))","Vector(generator.AsyncGeneratorState = ~awaiting-return~)"
321962.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 3, 4:21-100))","sdo-call %1 = this[2]->HasCallInTailPosition(call)"
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.b, 10:17-44))","(&& (comp? v) (! (= v.Type ~normal~)))"
82031.js,"ForStatement[1,1].VarDeclaredNames","Some((step 1, 2:28-67))","sdo-call %0 = this[0]->BoundNames()"
202730.js,"WhileStatement[0,0].HasCallInTailPosition","Some((step 1, 2:14-79))","Vector(return %0)"
104453.js,"UnaryExpression[6,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
211311.js,"ForStatement[2,1].VarScopedDeclarations","Some((step 1, 2:19-59))","sdo-call %0 = this[3]->VarScopedDeclarations()"
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))"
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 7.c, 11:14-34))","Vector([? v])"
230785.js,"OptionalChain[2,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
251869.js,"UnaryExpression[5,0].HasCallInTailPosition","Some((step 1, 2:14-29))","Vector(return false)"
350228.js,"CoalesceExpression[0,0].HasCallInTailPosition","Some((step 1, 2:21-88))","sdo-call %0 = this[1]->HasCallInTailPosition(call)"
